Unnamed: 0,id,title,rating,genre,year,has_reviews,poster_url
,ind_000412,Bãhubali: The Beginning,8.0,"Action, Drama",2015,False,
,ind_000413,Afwaah,5.6,"Drama, Thriller",2023,False,
,ind_000414,Doctor,7.4,"Action, Comedy, Crime",2021,False,
,ind_000415,Sita Ramam,8.6,"Action, Drama, Mystery",2022,False,
,ind_000416,Padmini,6.7,"Comedy, Drama, Family",2023,False,
,ind_000417,Sacred Games,8.5,"Action, Crime, Drama",2018,False,
,ind_000418,Inspector Avinash,7.9,"Action, Crime, Thriller",2023,False,
,ind_000419,Monica O My Darling,7.4,"Comedy, Crime, Drama",2022,False,
,ind_000420,HIT: The 2nd Case,7.2,"Action, Crime, Drama",2022,False,
,ind_000421,"Swades: We, the People",8.2,"Drama, Musical",2004,False,
,ind_000422,Laal Singh Chaddha,5.6,"Comedy, Drama, Romance",2022,False,
,ind_000423,Lagaan: Once Upon a Time in India,8.1,"Drama, Musical, Sport",2001,False,
,ind_000424,Mili,6.7,"Drama, Thriller",2022,False,
,ind_000425,K.G.F: Chapter 2,8.3,"Action, Crime, Drama",2022,False,
,ind_000426,Bajrangi Bhaijaan,8.1,"Action, Adventure, Comedy",2015,False,
,ind_000427,Andhadhun,8.2,"Crime, Mystery, Thriller",2018,False,
,ind_000428,Gaslight,6.3,"Crime, Horror, Mystery",2023,False,
,ind_000429,Mission Majnu,7.1,"Action, Drama, History",2023,False,
,ind_000430,Drishyam,8.2,"Crime, Drama, Mystery",2015,False,
,ind_000431,While We Watched,8.7,"Documentary, Biography, News",2022,False,
,ind_000432,Gulmohar,7.7,"Drama, Family",2023,False,
,ind_000433,Freddy,7.4,"Drama, Mystery, Romance",2022,False,
,ind_000434,Yeh Jawaani Hai Deewani,7.2,"Comedy, Drama, Musical",2013,False,
,ind_000435,Ratsasan,8.3,"Action, Crime, Drama",2018,False,
,ind_000436,Gully Boy,7.9,"Drama, Music, Romance",2019,False,
,ind_000437,Pareshan,6.1,Comedy,2023,False,
,ind_000438,Petta,7.2,"Action, Drama",2019,False,
,ind_000439,Darlings,6.6,"Comedy, Drama, Thriller",2022,False,
,ind_000440,Asoka,6.4,"Action, Biography, Drama",2001,False,
,ind_000441,My Name Is Khan,7.9,"Adventure, Drama, Romance",2010,False,
,ind_000442,Breathe: Into the Shadows,7.6,"Drama, Thriller",2020,False,
,ind_000443,Aranyak,7.8,"Crime, Drama, Mystery",2021,False,
,ind_000444,Dream Girl,7.0,"Comedy, Romance",2019,False,
,ind_000445,Beast,5.2,"Action, Thriller",2022,False,
,ind_000446,Devdas,7.5,"Drama, Musical, Romance",2002,False,
,ind_000447,DD Returns,6.9,"Comedy, Horror",2023,False,
,ind_000448,Four More Shots Please!,5.8,"Comedy, Drama, Romance",2019,False,
,ind_000449,Kal Ho Naa Ho,7.9,"Comedy, Drama, Musical",2003,False,
,ind_000450,Chup,7.6,"Crime, Drama, Mystery",2022,False,
